mode: set
access-api/internal/cache/redis.go:32.45,34.42 2 0
access-api/cmd/server/main.go:98.77,101.4 2 0
access-api/cmd/server/main.go:104.2,110.50 6 0
access-api/cmd/server/main.go:110.50,112.3 1 0
access-api/internal/handler/access.go:44.127,46.2 1 0
access-api/internal/handler/access.go:48.47,50.15 2 0
access-api/internal/handler/access.go:50.15,52.3 1 0
access-api/internal/handler/access.go:54.2,55.47 2 0
access-api/internal/handler/access.go:55.47,59.3 3 0
access-api/internal/handler/access.go:60.2,60.28 1 0
access-api/internal/handler/access.go:60.28,62.3 1 0
access-api/internal/handler/access.go:64.2,66.16 3 0
access-api/internal/handler/access.go:66.16,67.50 1 0
access-api/internal/handler/access.go:67.50,71.4 3 0
access-api/internal/handler/access.go:72.3,74.9 3 0
access-api/internal/handler/access.go:77.2,78.26 2 0
access-api/internal/handler/access.go:78.26,80.3 1 0
access-api/internal/handler/access.go:81.2,95.12 4 0
access-api/internal/handler/access.go:95.12,98.64 3 0
access-api/internal/handler/access.go:98.64,100.4 1 0
access-api/internal/handler/access.go:103.2,108.4 1 0
access-api/internal/handler/access.go:111.55,113.46 2 0
access-api/internal/handler/access.go:113.46,117.3 3 0
access-api/internal/handler/access.go:118.2,119.16 2 0
access-api/internal/handler/access.go:119.16,123.3 3 0
access-api/internal/handler/access.go:124.2,125.82 2 0
access-api/internal/handler/access.go:128.52,130.46 2 0
access-api/internal/handler/access.go:130.46,134.3 3 0
access-api/internal/handler/access.go:135.2,136.16 2 0
access-api/internal/handler/access.go:136.16,140.3 3 0
access-api/internal/handler/access.go:141.2,142.81 2 0
access-api/internal/repository/employee.go:19.88,21.39 2 0
access-api/internal/repository/employee.go:21.39,25.3 1 0
access-api/internal/repository/employee.go:27.2,37.16 2 0
access-api/internal/repository/employee.go:37.16,39.3 1 0
access-api/internal/repository/employee.go:40.2,40.58 1 0
access-api/internal/repository/employee.go:40.58,43.3 2 0
access-api/internal/repository/employee.go:44.2,44.49 1 0
access-api/internal/repository/employee.go:49.89,51.16 2 0
access-api/internal/repository/employee.go:51.16,53.3 1 0
access-api/internal/repository/employee.go:54.2,55.109 2 0
access-api/internal/repository/employee.go:55.109,57.3 1 0
access-api/internal/repository/employee.go:58.2,58.16 1 0
access-api/internal/repository/employee.go:58.16,60.3 1 0
access-api/internal/repository/employee.go:61.2,64.16 3 0
access-api/internal/repository/employee.go:64.16,66.3 1 0
access-api/internal/repository/employee.go:67.2,67.25 1 0
access-api/internal/repository/employee.go:73.103,75.16 2 0
access-api/internal/repository/employee.go:75.16,77.3 1 0
access-api/internal/repository/employee.go:78.2,84.16 3 0
access-api/internal/repository/employee.go:84.16,86.3 1 0
access-api/internal/repository/employee.go:87.2,87.23 1 0
access-api/internal/repository/employee.go:90.97,97.16 3 0
access-api/internal/repository/employee.go:97.16,99.3 1 0
access-api/internal/repository/employee.go:100.2,100.29 1 0
access-api/internal/repository/employee.go:103.44,105.2 1 0
access-api/internal/config/config.go:22.20,24.19 2 1
access-api/internal/config/config.go:24.19,26.3 1 1
access-api/internal/config/config.go:27.2,28.17 2 1
access-api/internal/config/config.go:28.17,30.3 1 1
access-api/internal/config/config.go:31.2,32.16 2 1
access-api/internal/config/config.go:32.16,34.3 1 1
access-api/internal/config/config.go:35.2,36.17 2 1
access-api/internal/config/config.go:36.17,38.3 1 1
access-api/internal/config/config.go:39.2,41.18 3 1
access-api/internal/config/config.go:41.18,43.3 1 1
access-api/internal/config/config.go:44.2,46.21 3 1
access-api/internal/config/config.go:46.21,48.3 1 1
access-api/internal/config/config.go:49.2,62.3 3 1
access-api/internal/middleware/apikey.go:14.48,15.30 1 1
access-api/internal/middleware/apikey.go:15.30,16.19 1 1
access-api/internal/middleware/apikey.go:16.19,19.4 2 1
access-api/internal/middleware/apikey.go:22.3,23.46 2 1
access-api/internal/middleware/apikey.go:23.46,26.4 2 1
access-api/internal/middleware/apikey.go:28.3,29.21 2 1
access-api/internal/middleware/apikey.go:29.21,31.4 1 1
access-api/internal/middleware/apikey.go:33.3,33.21 1 1
access-api/internal/middleware/apikey.go:33.21,38.4 2 1
access-api/internal/middleware/apikey.go:40.3,40.72 1 1
access-api/internal/middleware/apikey.go:40.72,45.4 2 1
access-api/internal/middleware/apikey.go:47.3,47.11 1 1
access-api/internal/middleware/apikey.go:52.45,54.78 2 1
access-api/internal/middleware/apikey.go:54.78,56.3 1 1
access-api/internal/middleware/apikey.go:57.2,57.11 1 1
access-api/internal/middleware/ratelimit.go:18.41,26.12 4 0
access-api/internal/middleware/ratelimit.go:26.12,27.7 1 0
access-api/internal/middleware/ratelimit.go:27.7,31.37 4 0
access-api/internal/middleware/ratelimit.go:31.37,32.52 1 0
access-api/internal/middleware/ratelimit.go:32.52,34.6 1 0
access-api/internal/middleware/ratelimit.go:36.4,36.15 1 0
access-api/internal/middleware/ratelimit.go:40.2,40.30 1 0
access-api/internal/middleware/ratelimit.go:40.30,46.14 5 0
access-api/internal/middleware/ratelimit.go:46.14,55.4 5 0
access-api/internal/middleware/ratelimit.go:58.3,60.22 3 0
access-api/internal/middleware/ratelimit.go:60.22,62.33 2 0
access-api/internal/middleware/ratelimit.go:62.33,64.5 1 0
access-api/internal/middleware/ratelimit.go:65.4,65.28 1 0
access-api/internal/middleware/ratelimit.go:68.3,68.25 1 0
access-api/internal/middleware/ratelimit.go:68.25,72.4 3 0
access-api/internal/middleware/ratelimit.go:72.9,77.4 2 0
access-api/internal/queue/kafka_producer.go:27.70,29.2 1 0
access-api/internal/queue/kafka_producer.go:32.100,49.2 5 0
access-api/internal/queue/kafka_producer.go:51.81,52.9 1 0
access-api/internal/queue/kafka_producer.go:53.24,55.15 2 0
access-api/internal/queue/kafka_producer.go:56.10,57.22 1 0
access-api/internal/queue/kafka_producer.go:57.22,58.49 1 0
access-api/internal/queue/kafka_producer.go:58.49,61.5 2 0
access-api/internal/queue/kafka_producer.go:62.4,63.14 2 0
access-api/internal/queue/kafka_producer.go:65.3,66.15 2 0
access-api/internal/queue/kafka_producer.go:70.84,75.49 3 0
access-api/internal/queue/kafka_producer.go:75.49,77.3 1 0
access-api/internal/queue/kafka_producer.go:78.2,78.12 1 0
access-api/internal/queue/kafka_producer.go:82.72,83.21 1 0
access-api/internal/queue/kafka_producer.go:83.21,85.3 1 0
access-api/internal/queue/kafka_producer.go:86.2,86.38 1 0
access-api/internal/queue/kafka_producer.go:89.82,91.16 2 0
access-api/internal/queue/kafka_producer.go:91.16,93.3 1 0
access-api/internal/queue/kafka_producer.go:94.2,97.4 1 0
access-api/internal/queue/kafka_producer.go:100.37,102.6 2 0
access-api/internal/queue/kafka_producer.go:102.6,103.10 1 0
access-api/internal/queue/kafka_producer.go:104.17,105.10 1 0
access-api/internal/queue/kafka_producer.go:106.27,108.46 2 0
access-api/internal/queue/kafka_producer.go:108.46,110.5 1 0
access-api/internal/queue/kafka_producer.go:110.10,112.5 1 0
access-api/internal/queue/kafka_producer.go:113.4,113.12 1 0
access-api/internal/queue/kafka_producer.go:118.39,122.2 3 0
access-api/internal/queue/kafka_producer.go:127.71,127.85 1 0
access-api/internal/queue/kafka_producer.go:128.70,128.84 1 0
access-api/internal/queue/outbox.go:22.53,23.15 1 1
access-api/internal/queue/outbox.go:23.15,25.3 1 0
access-api/internal/queue/outbox.go:26.2,26.48 1 1
access-api/internal/queue/outbox.go:26.48,28.3 1 0
access-api/internal/queue/outbox.go:29.2,29.73 1 1
access-api/internal/queue/outbox.go:32.59,36.16 4 1
access-api/internal/queue/outbox.go:36.16,38.3 1 0
access-api/internal/queue/outbox.go:39.2,41.16 3 1
access-api/internal/queue/outbox.go:41.16,43.3 1 0
access-api/internal/queue/outbox.go:44.2,45.12 2 1
access-api/internal/queue/outbox.go:49.118,54.16 4 1
access-api/internal/queue/outbox.go:54.16,55.25 1 0
access-api/internal/queue/outbox.go:55.25,57.4 1 0
access-api/internal/queue/outbox.go:58.3,58.16 1 0
access-api/internal/queue/outbox.go:60.2,60.20 1 1
access-api/internal/queue/outbox.go:60.20,62.3 1 0
access-api/internal/queue/outbox.go:64.2,66.16 3 1
access-api/internal/queue/outbox.go:66.16,68.21 2 1
access-api/internal/queue/outbox.go:68.21,69.12 1 0
access-api/internal/queue/outbox.go:71.3,72.51 2 1
access-api/internal/queue/outbox.go:72.51,74.12 2 0
access-api/internal/queue/outbox.go:76.3,76.32 1 1
access-api/internal/queue/outbox.go:78.2,78.33 1 1
access-api/internal/queue/outbox.go:78.33,80.3 1 0
access-api/internal/queue/outbox.go:82.2,84.29 3 1
access-api/internal/queue/outbox.go:84.29,85.42 1 1
access-api/internal/queue/outbox.go:85.42,87.12 2 0
access-api/internal/queue/outbox.go:89.3,89.13 1 1
access-api/internal/queue/outbox.go:91.2,91.48 1 1
access-api/internal/queue/outbox.go:94.69,95.22 1 1
access-api/internal/queue/outbox.go:95.22,96.66 1 1
access-api/internal/queue/outbox.go:96.66,98.4 1 0
access-api/internal/queue/outbox.go:99.3,99.13 1 1
access-api/internal/queue/outbox.go:101.2,102.16 2 0
access-api/internal/queue/outbox.go:102.16,104.3 1 0
access-api/internal/queue/outbox.go:105.2,106.28 2 0
access-api/internal/queue/outbox.go:106.28,108.17 2 0
access-api/internal/queue/outbox.go:108.17,110.4 1 0
access-api/internal/queue/outbox.go:111.3,111.56 1 0
access-api/internal/queue/outbox.go:111.56,113.4 1 0
access-api/internal/queue/outbox.go:115.2,115.12 1 0
access-api/internal/service/access_decision.go:46.72,48.2 1 1
access-api/internal/service/access_decision.go:51.59,53.2 1 1
access-api/internal/service/access_decision.go:57.138,59.19 1 1
access-api/internal/service/access_decision.go:59.19,61.37 2 1
access-api/internal/service/access_decision.go:61.37,63.19 1 1
access-api/internal/service/access_decision.go:63.19,65.21 2 1
access-api/internal/service/access_decision.go:65.21,69.6 1 0
access-api/internal/service/access_decision.go:69.11,69.28 1 1
access-api/internal/service/access_decision.go:69.28,73.6 2 0
access-api/internal/service/access_decision.go:77.3,77.47 1 1
access-api/internal/service/access_decision.go:77.47,80.4 2 1
access-api/internal/service/access_decision.go:84.2,85.16 2 1
access-api/internal/service/access_decision.go:85.16,87.3 1 1
access-api/internal/service/access_decision.go:88.2,88.12 1 1
access-api/internal/service/access_decision.go:88.12,91.3 2 1
access-api/internal/service/access_decision.go:94.2,95.16 2 1
access-api/internal/service/access_decision.go:95.16,97.3 1 0
access-api/internal/service/access_decision.go:99.2,99.65 1 1
access-api/internal/service/access_decision.go:99.65,102.3 2 1
access-api/internal/service/access_decision.go:105.2,105.89 1 1
access-api/internal/service/access_decision.go:105.89,107.3 1 1
access-api/internal/service/access_decision.go:109.2,109.72 1 1
access-api/internal/service/access_decision.go:114.137,115.17 1 1
access-api/internal/service/access_decision.go:115.17,117.3 1 1
access-api/internal/service/access_decision.go:119.2,123.16 4 1
access-api/internal/service/access_decision.go:123.16,125.3 1 1
access-api/internal/service/access_decision.go:126.2,126.13 1 1
access-api/internal/service/access_decision.go:126.13,129.3 2 1
access-api/internal/service/access_decision.go:131.2,132.89 2 1
access-api/internal/service/access_decision.go:132.89,134.3 1 1
access-api/internal/service/access_decision.go:135.2,135.65 1 1
access-api/internal/service/access_decision.go:135.65,138.3 2 1
access-api/internal/service/access_decision.go:140.2,140.88 1 1
access-api/internal/service/access_decision.go:143.83,144.9 1 1
access-api/internal/service/access_decision.go:145.67,146.14 1 1
access-api/internal/service/access_decision.go:147.69,148.14 1 1
access-api/internal/service/access_decision.go:149.10,150.15 1 1
